Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,Method 1,13,0.2211537865946688,0.35956376262448264,0.3555969446113651,0.42156771718968983,0.35956376262448264,0.08978725762668012
10x_human_lymph_node_A1,Method 1,2560,0.22703325887908102,0.3641461616278484,0.3602039947013376,0.42652944962225464,0.3641461616278484,0.09549354964679478
10x_human_lymph_node_A1,Method 1,641,0.21477960369946353,0.35712943722600093,0.35315031372602695,0.41901041283701,0.357129437226001,0.08974250164153118
10x_human_lymph_node_A1,Method 1,1892,0.24823331068842436,0.37275009608635273,0.36883134862342476,0.4332630089923371,0.3727500960863527,0.09893019631164948
10x_human_lymph_node_A1,Method 1,1173,0.2463348758974663,0.36892922901539565,0.3649879168320114,0.4289750545439288,0.3689292290153956,0.0967813703842936
10x_human_lymph_node_A1,Method 1,69,0.24593864240787675,0.3723289750509286,0.36841161866725536,0.4332145615354872,0.37232897505092866,0.10496404650198682
10x_human_lymph_node_A1,Method 1,2024,0.23048745097441753,0.3683116169455677,0.3643925535693898,0.43110172053265094,0.36831161694556774,0.09769667096478228
10x_human_lymph_node_A1,Method 1,231,0.2445209908152662,0.37169038361479545,0.3677656793215547,0.4320993123060712,0.37169038361479545,0.10094249736318688
10x_human_lymph_node_A1,Method 1,1971,0.2333362267284638,0.36872509269326653,0.36479922533030307,0.4305635197970682,0.36872509269326653,0.09192678899298976
10x_human_lymph_node_A1,Method 1,2497,0.22524042909489875,0.3709344227536542,0.36703593654765587,0.43466496048538283,0.3709344227536542,0.09174812373142742
10x_human_lymph_node_A1,Method 1,338,0.2371263701470914,0.3665880824464397,0.3626404777997948,0.4271405228242778,0.36658808244643976,0.09798499292571924
10x_human_lymph_node_A1,Method 1,3127,0.237925632472743,0.3744595317598481,0.3705768577811501,0.43810550358661265,0.37445953175984803,0.10571696317408724
10x_human_lymph_node_A1,Method 1,2001,0.24202205634577756,0.36761126602026933,0.36366577763989505,0.42788415934156837,0.3676112660202694,0.09566598808948035
10x_human_lymph_node_A1,Method 1,2022,0.22638589825402367,0.3708104836017307,0.36690996440512286,0.43437484659129477,0.3708104836017307,0.0922829835151673
10x_human_lymph_node_A1,Method 1,574,0.2509732958636393,0.3736817291937227,0.36977005517314443,0.43448335765141666,0.3736817291937228,0.10484319125307573
10x_human_lymph_node_A1,Method 1,2428,0.24812404011400707,0.3723309508214412,0.36841054182040883,0.4328775969426587,0.37233095082144124,0.1048896612214054
10x_human_lymph_node_A1,Method 1,999,0.21886800789159036,0.36641054893677893,0.3624864360747268,0.4296265482221259,0.366410548936779,0.08603107592680767
10x_human_lymph_node_A1,Method 1,1187,0.22301367437271769,0.3684480827562199,0.36453129081766,0.43142158423628946,0.3684480827562199,0.08809562823483316
10x_human_lymph_node_A1,Method 1,42,0.22935526917415192,0.366245969329618,0.3623138139233274,0.4286572401343368,0.36624596932961806,0.10041731358972295
10x_human_lymph_node_A1,Method 1,3999,0.25249587882341457,0.3744004029703854,0.37049213690505806,0.43519545111034175,0.37440040297038546,0.10509014830033583
10x_human_lymph_node_A1,Method 2,13,0.2336159120523584,0.3675933535971373,0.36364632036713496,0.4276911531114844,0.3675933535971373,0.06473000115109616
10x_human_lymph_node_A1,Method 2,2560,0.22735815598999,0.3715064557433153,0.3675835758271543,0.4321916654347493,0.37150645574331526,0.059954946886666964
10x_human_lymph_node_A1,Method 2,641,0.22849376873993266,0.36359740108778593,0.35963019521323086,0.423561112254406,0.3635974010877859,0.06427023489303516
10x_human_lymph_node_A1,Method 2,1892,0.224478364706168,0.3649129601332468,0.36096667353881307,0.42645134872812235,0.3649129601332468,0.06684305503819597
10x_human_lymph_node_A1,Method 2,1173,0.22265887366755446,0.3647955371761946,0.3608443120039636,0.4258494629555939,0.36479553717619456,0.06372233508188344
10x_human_lymph_node_A1,Method 2,69,0.23765254735574953,0.36753510099755926,0.3635826847390465,0.42708148191067186,0.36753510099755926,0.066268954181399
10x_human_lymph_node_A1,Method 2,2024,0.21942343772439757,0.36602065091084846,0.3620834943548764,0.42798622221240407,0.36602065091084846,0.06304236386463057
10x_human_lymph_node_A1,Method 2,231,0.21888150777463566,0.3632124630870065,0.35925430679478504,0.42431472249105917,0.3632124630870065,0.06085452882015137
10x_human_lymph_node_A1,Method 2,1971,0.2193790220611339,0.36696436659581577,0.36303297191083916,0.42908230550410903,0.36696436659581577,0.0629134657359084
10x_human_lymph_node_A1,Method 2,2497,0.2555795660790249,0.3807259618482225,0.3767890572396791,0.4344693611421893,0.38072596184822244,0.06129647199404194
10x_human_lymph_node_A1,Method 2,338,0.21802950070762936,0.3642562545430412,0.3603089492555257,0.42600884683103635,0.3642562545430412,0.062290240690552105
10x_human_lymph_node_A1,Method 2,3127,0.24567295939047978,0.37795068722686204,0.37400648768585426,0.4323756354632205,0.37795068722686204,0.05568513451380739
10x_human_lymph_node_A1,Method 2,2001,0.21970640743536698,0.36833215471256164,0.36441153399691273,0.43093832659682824,0.36833215471256164,0.06111581839383807
