dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,42,0.278282057381635,0.37810203882328736,0.3740229421312769,0.41751771382820424,0.37810203882328736,0.11362838
10x_human_lymph_node_A1,0,0.27692171839017643,0.3782786515904114,0.374198219093017,0.41754809511755264,0.37827865159041146,0.11185973
10x_human_lymph_node_A1,1,0.2718459262108569,0.3772622732704829,0.3731826627662242,0.41737707957621006,0.37726227327048284,0.13275503
10x_human_lymph_node_A1,7,0.25440492954972105,0.36609084356119337,0.3620376847823473,0.41565367157209343,0.3660908435611933,0.11087096
10x_human_lymph_node_A1,123,0.2785669933326683,0.37944824106331637,0.3753781635870734,0.41903696623523584,0.3794482410633164,0.12044132
10x_human_lymph_node_A1,1234,0.23978586467813026,0.3539459984709464,0.34984961950993915,0.405410932214916,0.35394599847094643,0.14216101
10x_human_lymph_node_A1,2022,0.2582461004369191,0.3638590019284079,0.3597372701038267,0.4075828404666683,0.3638590019284079,0.12347381
10x_human_lymph_node_A1,2023,0.2867965459046112,0.38732681212468056,0.3832465518621276,0.42060454548628207,0.3873268121246805,0.11461762
10x_human_lymph_node_A1,2024,0.2863932827732952,0.3850732076308633,0.3809693708443525,0.4172466065926489,0.3850732076308633,0.11348257
10x_human_lymph_node_A1,1337,0.2641045519726786,0.369750579598452,0.3656514897953422,0.41211795846216187,0.369750579598452,0.13240652
10x_human_lymph_node_D1,42,0.14701068832464453,0.31898432256703635,0.3135333002131528,0.37688626317193746,0.3189843225670363,0.08519799
10x_human_lymph_node_D1,0,0.15926134717234916,0.32341097960627785,0.31803737395507675,0.3863510904849037,0.32341097960627785,0.10515074
10x_human_lymph_node_D1,1,0.16053211215398086,0.32532905776737886,0.3199283786147794,0.38447044189036106,0.32532905776737886,0.089231506
10x_human_lymph_node_D1,7,0.17280324491148266,0.3254378180809637,0.320016722190245,0.3826463941630988,0.32543781808096367,0.09273126
10x_human_lymph_node_D1,123,0.1787540758671812,0.3321789202828865,0.32678107642467913,0.3847415862816129,0.3321789202828865,0.07372707
10x_human_lymph_node_D1,1234,0.16347160267769284,0.3186113490351188,0.31314408865338655,0.3747271874714606,0.3186113490351188,0.08793428
10x_human_lymph_node_D1,2022,0.17399252611977994,0.32674978450303827,0.32134795450331866,0.3845474452327548,0.3267497845030383,0.093886316
10x_human_lymph_node_D1,2023,0.14586676926724632,0.3159011830989283,0.3104363940489393,0.37401442504452215,0.31590118309892823,0.08889166
10x_human_lymph_node_D1,2024,0.16268524715845645,0.324756710915951,0.31933514287797493,0.3824588809979775,0.324756710915951,0.08198095
10x_human_lymph_node_D1,1337,0.14840433293776298,0.30812543611400717,0.30256635073061283,0.36210532700344533,0.30812543611400717,0.07988623
Mouse_Brain_E11_S1,42,0.40185269589074046,0.5136088124297549,0.5079606601850888,0.5821603658281401,0.5136088124297549,0.21591285
Mouse_Brain_E11_S1,0,0.4776465427564175,0.5155492362871789,0.5098023862952306,0.5687161401536505,0.5155492362871787,0.1680673
Mouse_Brain_E11_S1,1,0.4127807358203643,0.4935183059286387,0.4876554723775988,0.5629502300505683,0.49351830592863877,0.20362349
Mouse_Brain_E11_S1,7,0.3849920223487764,0.5043928197279255,0.49865111700443043,0.5748742188014029,0.5043928197279255,0.19072361
Mouse_Brain_E11_S1,123,0.43405266959990885,0.5161178569980979,0.5104690335897538,0.5809044428114809,0.5161178569980979,0.2000124
Mouse_Brain_E11_S1,1234,0.48105600830779194,0.5176962509645058,0.5119532398517878,0.5669671467127276,0.5176962509645058,0.15833831
