dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,42,0.26019701507866944,0.36680353630370816,0.36271000435342743,0.41176625007080314,0.3668035363037081,0.13008067
10x_human_lymph_node_A1,0,0.2839945243411828,0.38075879478170843,0.37668515828715043,0.41920662723693486,0.3807587947817084,0.13287337
10x_human_lymph_node_A1,1,0.264623956103186,0.3662492205643995,0.3621678652497273,0.4125096737140287,0.36624922056439946,0.12782554
10x_human_lymph_node_A1,7,0.307533535030886,0.3833434901760791,0.37913798670560594,0.4068707915339521,0.38334349017607905,0.09507332
10x_human_lymph_node_A1,123,0.25355182188735254,0.36188266395245294,0.35779301038903977,0.409970378900396,0.361882663952453,0.12742272
10x_human_lymph_node_A1,1234,0.2754599542856984,0.3772529320676573,0.37318374939608484,0.4183975513183254,0.37725293206765725,0.117669605
10x_human_lymph_node_A1,2022,0.27033590701337157,0.37079740419169593,0.3667116567605209,0.41426473390187557,0.3707974041916959,0.11784569
10x_human_lymph_node_A1,2023,0.2806622309514954,0.38341939551651777,0.3793734484729529,0.4234075264935913,0.38341939551651766,0.1168866
10x_human_lymph_node_A1,2024,0.2719752795772621,0.37563907651181977,0.37155300319103285,0.41583758825179606,0.3756390765118198,0.11095422
10x_human_lymph_node_A1,1337,0.2912496838556989,0.38640041289207433,0.38232120010018567,0.4207465448108898,0.38640041289207433,0.12135125
10x_human_lymph_node_D1,42,0.15710851682937613,0.32195284213084896,0.31652867543496727,0.38000052465545586,0.3219528421308489,0.09815367
10x_human_lymph_node_D1,0,0.17703905550877017,0.32983750325050415,0.32445766481905386,0.38837414251764735,0.32983750325050415,0.087984905
10x_human_lymph_node_D1,1,0.1597177730730295,0.3140227935801127,0.3084685540451315,0.3668161632299389,0.3140227935801127,0.08023936
10x_human_lymph_node_D1,7,0.16657624112314434,0.32399463897480324,0.31853913811521617,0.3797419026567386,0.32399463897480324,0.09695512
10x_human_lymph_node_D1,123,0.17138703381629777,0.3311379013504704,0.32577284263044504,0.3904752515436033,0.33113790135047033,0.08781427
10x_human_lymph_node_D1,1234,0.1590172002205188,0.3180716610420901,0.31260533491783465,0.3743958876662628,0.3180716610420901,0.08763271
10x_human_lymph_node_D1,2022,0.15585245974389614,0.32222858003261445,0.3167991590700681,0.38056548718929634,0.3222285800326144,0.09791952
10x_human_lymph_node_D1,2023,0.14123385933790097,0.3020661606868106,0.29643579396791153,0.3536925216791706,0.3020661606868105,0.08297456
10x_human_lymph_node_D1,2024,0.17837168710548196,0.3298208957631283,0.32441104219268696,0.3838903807570567,0.32982089576312834,0.08741609
10x_human_lymph_node_D1,1337,0.18169722815880068,0.3205977292940117,0.31511306452263493,0.3749559717446878,0.3205977292940117,0.081512734
Mouse_Brain_E11_S1,42,0.3708662469591007,0.47330868793160086,0.4672051204801213,0.5390129206015462,0.4733086879316008,0.17888911
Mouse_Brain_E11_S1,0,0.47909799627551275,0.5164902747963175,0.5107532287316227,0.5695699335980026,0.5164902747963175,0.16886246
Mouse_Brain_E11_S1,1,0.4256212808475449,0.5115893503544489,0.5059112092509084,0.5801799485604732,0.5115893503544487,0.20146573
Mouse_Brain_E11_S1,7,0.3878687580352418,0.5075790307805415,0.5018736287391651,0.5783713412064652,0.5075790307805413,0.188044
Mouse_Brain_E11_S1,123,0.40455373284555823,0.5036217087774078,0.4978281781347508,0.567422768717725,0.5036217087774078,0.18398632
Mouse_Brain_E11_S1,1234,0.48105600830779194,0.5176962509645058,0.5119532398517878,0.5669671467127276,0.5176962509645058,0.15796237
