dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,42,0.17708787276455903,0.33194483668093583,0.32649466354925244,0.38359141813263176,0.33194483668093583,0.23864056
10x_human_lymph_node_D1,0,0.2020139851006737,0.3617093340672493,0.3564894267210068,0.4156704598013466,0.36170933406724937,0.27428648
10x_human_lymph_node_D1,1,0.17158144968203753,0.31312657336126765,0.3076121262548901,0.36798813265247526,0.3131265733612676,0.19995132
10x_human_lymph_node_D1,7,0.18382531566408186,0.3419511609292789,0.33662261016193723,0.3990899472997923,0.341951160929279,0.20202225
10x_human_lymph_node_D1,123,0.1694484198538397,0.33822686839320143,0.33292683778222815,0.3990081791168702,0.33822686839320143,0.24162675
10x_human_lymph_node_D1,1234,0.18803156806162144,0.3370333831241905,0.33172724284605726,0.397907924099318,0.3370333831241905,0.24777359
10x_human_lymph_node_D1,2022,0.2917472991025675,0.37638699709727563,0.3711525068231312,0.41823688930048025,0.3763869970972756,0.17706972
10x_human_lymph_node_D1,2023,0.23309123200412532,0.37004465957894356,0.36488563151146003,0.42304031241500695,0.37004465957894356,0.24681422
10x_human_lymph_node_D1,2024,0.19334026286132047,0.34220182120966464,0.3369325170820375,0.4035081177251876,0.3422018212096646,0.2766735
10x_human_lymph_node_D1,1337,0.19656088935419536,0.3445348027309302,0.3392226506250943,0.4014187013721846,0.3445348027309301,0.2565786
