dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,42,0.25605964134487325,0.3702217431007963,0.36616043206715565,0.41622148143508775,0.37022174310079625,0.29634655
10x_human_lymph_node_A1,0,0.25331059231676895,0.3701745486633081,0.36606591211363115,0.41063597415821673,0.3701745486633081,0.3174517
10x_human_lymph_node_A1,1,0.23756755209536193,0.3512713352492165,0.3471601229749024,0.4022303850270126,0.35127133524921644,0.25858206
10x_human_lymph_node_A1,7,0.22931035099781608,0.34886309847509755,0.3447557130372332,0.4015626127727002,0.3488630984750975,0.29091823
10x_human_lymph_node_A1,123,0.24165917258140887,0.3501094687748806,0.3459492584956542,0.3971077194024546,0.35010946877488064,0.3209184
10x_human_lymph_node_A1,1234,0.2387652212191237,0.3670466521599688,0.3629809591020378,0.41490580206030087,0.3670466521599687,0.29707262
10x_human_lymph_node_A1,2022,0.2452675983480048,0.37529920923112314,0.3713271780971523,0.4283717424721866,0.3752992092311232,0.29700786
10x_human_lymph_node_A1,2023,0.24636335187669944,0.3690914856291531,0.3649767988046172,0.40295797682310436,0.36909148562915317,0.32274032
10x_human_lymph_node_A1,2024,0.2384540078559549,0.3642520965349935,0.36018139477611216,0.4129123322667978,0.36425209653499346,0.27533996
10x_human_lymph_node_A1,1337,0.24959122176503612,0.37808553056002,0.37415054550562205,0.433827408324408,0.37808553056002003,0.28307104
10x_human_lymph_node_D1,42,0.17708787276455903,0.33194483668093583,0.32649466354925244,0.38359141813263176,0.33194483668093583,0.23864056
10x_human_lymph_node_D1,0,0.2020139851006737,0.3617093340672493,0.3564894267210068,0.4156704598013466,0.36170933406724937,0.27428648
10x_human_lymph_node_D1,1,0.17158144968203753,0.31312657336126765,0.3076121262548901,0.36798813265247526,0.3131265733612676,0.19995132
10x_human_lymph_node_D1,7,0.18382531566408186,0.3419511609292789,0.33662261016193723,0.3990899472997923,0.341951160929279,0.20202225
10x_human_lymph_node_D1,123,0.1694484198538397,0.33822686839320143,0.33292683778222815,0.3990081791168702,0.33822686839320143,0.24162675
