dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,42,0.4268166433358022,0.48277462816802447,0.4767036392642415,0.5178620824242853,0.48277462816802447,0.09991033
Mouse_Brain_E11_S1,0,0.44025177731860177,0.47885763134503,0.47282345096391565,0.5463483275638022,0.4788576313450301,0.1925455
Mouse_Brain_E11_S1,1,0.2869903289843322,0.41424564431815947,0.4075872350959465,0.4796747213636297,0.4142456443181594,0.08565423
Mouse_Brain_E11_S1,7,0.27440319811582187,0.44699661967071147,0.44065050920619175,0.5158858855797743,0.4469966196707114,0.12621278
Mouse_Brain_E11_S1,123,0.37185038844430496,0.4439701137962092,0.43752554385132286,0.504721413103168,0.4439701137962092,0.16865055
Mouse_Brain_E11_S1,1234,0.370963578053553,0.43612814004877415,0.42974620150109294,0.5119564456142944,0.4361281400487741,0.1870295
Mouse_Brain_E11_S1,2022,0.2637028946414604,0.41742759076235064,0.41087934856892916,0.497650883218492,0.41742759076235064,0.1634042
Mouse_Brain_E11_S1,2023,0.28312899118373736,0.4024509058018116,0.3957495475208097,0.48107250643874344,0.4024509058018116,0.11736847
Mouse_Brain_E11_S1,2024,0.2877984944102254,0.41961740259022867,0.4130286810862031,0.4918486624756376,0.4196174025902286,0.23568521
Mouse_Brain_E11_S1,1337,0.3479275215733269,0.4431940627689748,0.4368836589958779,0.522205047891367,0.44319406276897483,0.099800214
