dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,42,0.26337887419303646,0.35840700877994247,0.35430757839130667,0.40721175992858,0.35840700877994247,0.22199571
10x_human_lymph_node_A1,0,0.1948865264129965,0.3299341891239499,0.3257541245224924,0.3840235059395722,0.3299341891239499,0.21948092
10x_human_lymph_node_A1,1,0.3056647843368789,0.4019228218575199,0.39801899224822057,0.4463593264918473,0.4019228218575199,0.20658442
10x_human_lymph_node_A1,7,0.23872916520214338,0.37816441077933133,0.37426003927342516,0.4371958452089706,0.37816441077933133,0.22020644
10x_human_lymph_node_A1,123,0.29359527955311787,0.39368910925418676,0.38976541470008996,0.44154578805179695,0.3936891092541868,0.18485174
10x_human_lymph_node_A1,1234,0.22284944624982433,0.3721585817594406,0.36819795035627007,0.4282441933195479,0.3721585817594406,0.16721727
10x_human_lymph_node_A1,2022,0.21514839749088346,0.35921250612189065,0.3551931872540931,0.4158843386074167,0.35921250612189065,0.1856756
10x_human_lymph_node_A1,2023,0.26117904068140657,0.3776879794406406,0.3736612405066783,0.42286724061332676,0.3776879794406406,0.225564
10x_human_lymph_node_A1,2024,0.22420442721520834,0.3444146664894612,0.3402535938632439,0.3939245944878358,0.3444146664894612,0.2302907
10x_human_lymph_node_A1,1337,0.28730428898001925,0.4022263437728356,0.39833207629967315,0.44778759540116225,0.4022263437728357,0.21431115
10x_human_lymph_node_D1,42,0.17392211916931566,0.3217535822838328,0.31603108153345727,0.3578020792108477,0.3217535822838328,0.24034515
10x_human_lymph_node_D1,0,0.28060677084673685,0.366442298709901,0.3610456913853043,0.4023458751025166,0.366442298709901,0.17721687
10x_human_lymph_node_D1,1,0.21542891680573403,0.3617357220066417,0.3565270688581827,0.4191622229482759,0.3617357220066418,0.13997054
10x_human_lymph_node_D1,7,0.17756931955679733,0.3285197610794353,0.32300376941729597,0.375393673817483,0.32851976107943526,0.19200562
10x_human_lymph_node_D1,123,0.19945337826833193,0.3541645648873912,0.34882696114527856,0.4043229016809806,0.3541645648873911,0.23657489
10x_human_lymph_node_D1,1234,0.1851979242046964,0.3427785792906592,0.33744681284873923,0.39838162148426487,0.34277857929065914,0.22807868
10x_human_lymph_node_D1,2022,0.2506287567146229,0.37592180057829977,0.37071729997522024,0.4227156317812667,0.3759218005782997,0.25650796
10x_human_lymph_node_D1,2023,0.25684168449753003,0.3548634441645411,0.3496323585276767,0.41461751052063694,0.354863444164541,0.10529711
10x_human_lymph_node_D1,2024,0.17483442948500144,0.3410030807223357,0.33573758403859993,0.40265215836181856,0.34100308072233576,0.1898907
10x_human_lymph_node_D1,1337,0.19137769162828192,0.327165485183845,0.32169926383911657,0.3801811262415271,0.3271654851838449,0.19948117
Mouse_Brain_E11_S1,42,0.4268166433358022,0.48277462816802447,0.4767036392642415,0.5178620824242853,0.48277462816802447,0.09991033
Mouse_Brain_E11_S1,0,0.44025177731860177,0.47885763134503,0.47282345096391565,0.5463483275638022,0.4788576313450301,0.1925455
Mouse_Brain_E11_S1,1,0.2869903289843322,0.41424564431815947,0.4075872350959465,0.4796747213636297,0.4142456443181594,0.08565423
Mouse_Brain_E11_S1,7,0.27440319811582187,0.44699661967071147,0.44065050920619175,0.5158858855797743,0.4469966196707114,0.12621278
