dataset,no_cluster,seed,ARI,NMI,AMI,Silhouette,CHI,DBI
10x_human_lymph_node_A1,10,42,0.2548687759700396,0.3409753763478366,0.3364773670978002,0.15233535,694.8293,2.273403944858001
10x_human_lymph_node_A1,10,0,0.254043732452582,0.3318385012977325,0.3272697917850167,0.13652362,853.6376,2.334698966228607
10x_human_lymph_node_A1,10,1,0.2653585740934905,0.3671967824809011,0.3631051326389785,0.092280686,739.548,2.5579972259292725
10x_human_lymph_node_A1,10,7,0.2470760854299705,0.340069139844289,0.3356711053278834,0.13535397,1079.4589,2.3150422430485587
10x_human_lymph_node_A1,10,123,0.2510137296771179,0.3497536489779142,0.3453420106927495,0.09996807,835.30206,2.0836809155004823
10x_human_lymph_node_A1,10,1234,0.247715581908327,0.3431688879977199,0.3388246837553207,0.1048347,764.72943,2.625478973053883
10x_human_lymph_node_A1,10,2022,0.2504846942950365,0.3417273318311782,0.3373044693530794,0.13378508,880.1029,2.2876148219894463
10x_human_lymph_node_A1,10,2023,0.2417505060532341,0.3454197666677505,0.3411557113896817,0.079008155,610.77686,2.656248299063492
10x_human_lymph_node_A1,10,2024,0.2711667452827165,0.340852757623365,0.3362614174089147,0.14472902,809.9518,2.075970056214317
10x_human_lymph_node_A1,10,1337,0.249991834313025,0.3367375892811419,0.3322991008545089,0.13757788,978.3114,2.17239570769784
10x_human_lymph_node_D1,11,42,0.1305433957889923,0.3013150589132487,0.2956305516185007,0.13470216,467.8772,2.300699932563388
10x_human_lymph_node_D1,11,0,0.1558521928601516,0.2918388276782301,0.2860766471047161,0.09312484,451.901,2.380357573045663
10x_human_lymph_node_D1,11,1,0.1740796425319989,0.3102262345768161,0.3046378599481047,0.086145855,453.65042,2.4248314117079883
10x_human_lymph_node_D1,11,7,0.1544887738014856,0.3052912552951387,0.2993038125080525,0.12576641,549.6376,2.138678343741805
10x_human_lymph_node_D1,11,123,0.1797352391733933,0.3252982708449866,0.3198385984418563,0.0997516,480.34595,2.4462510024222044
10x_human_lymph_node_D1,11,1234,0.1569759445390618,0.3008011032149629,0.2949006786379935,0.15200762,461.03464,2.4943762419171507
10x_human_lymph_node_D1,11,2022,0.1490312077925669,0.309379586988067,0.3035587975759961,0.12153537,468.60583,2.5713844045595
10x_human_lymph_node_D1,11,2023,0.1645992402316846,0.3248775612534578,0.3193343084858191,0.07483915,360.50143,2.641675408562645
10x_human_lymph_node_D1,11,2024,0.1355631808402624,0.2944606495441279,0.2886766589382852,0.09338711,494.46628,2.268176454574282
